index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,labels,parkingSpace,highlight,newDevelopmentFinished
0,102515890,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/2f/8b/1158193549.jpg,15,16,1,325000.0,flat,sale,95.0,True,1,1,La Caleta - La Viña,Cádiz,Cádiz,La Caleta - La Viña,es,36.5322425,-6.2983879,False,https://www.idealista.com/inmueble/102515890/,1792,"Inmobiliaria casa ofrece en venta bonito piso en pleno centro de cadiz. La vivienda consta de un dormitorio, un amplio vestidor, salón de gran tamaño, cocina y baño. Originalmente tenía tres dormitorios que se podrían volver a sacar. La vivienda es una primera planta sin ascensor. Es exterior con dos balcones y un cierro a la calle. La vivienda está completamente reformada. Tiene chimenea (en funcionamiento) en el salón, tiene aire acondicionado. Puertas climalit en el salón.",False,good,False,False,3421.0,{'typology': 'flat'},"{'subtitle': 'La Caleta - La Viña, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
1,103754746,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/68/8a/51/1199143587.jpg,,9,5,250000.0,flat,sale,73.0,True,3,1,Zona Laguna,Cádiz,Cádiz,Zona Laguna,es,36.5031782,-6.2710019,False,https://www.idealista.com/inmueble/103754746/,2335,"ZONA ESTADIO-LA LAGUNA. Fantástica vivienda en Cádiz, en el animado barrio de La Laguna, a escasos minutos andando de la playa de la Victoria. La vivienda hace esquina del edificio, por lo que podrás disfrutar de mucha luz en todas sus ventanas.  Una de las principales ventajas de esta vivienda es que es completamente EXTERIOR. Se distribuye de la siguiente manera: tiene un amplio salón comedor, un cuarto de baño completo, una gran cocina totalmente amueblada y equipada. Además tiene tres dormitorios para que puedas acomodar a toda tu familia. La vivienda está es un fantástico estado de uso, lista para entrar a vivir o para rentabilizarla alquilándola ya que dado su estado y situación sería muy fácil de alquilar en cualquier época del año. La ubicación no es menos importante, ya que tiene de todo lo que necesitas al lado: cerca de supermercados, zona comercial y de ocio, transporte público (cerca de estación de tren, cerca de paradas de autobuses, etc), cerca de fantásticos chiringuitos de playa y a unos cinco minutos andando de la maravillosa playa Victoria. No dudes en llamarnos para visitarla.  De acuerdo con el Decreto 218/2005, de 11 de octubre, se informa al cliente que los gastos notariales, registrales, I. T. P. o equivalente, honorarios de intermediación, gastos financieros, y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda.",False,good,False,True,3425.0,{'typology': 'flat'},"{'subtitle': 'Zona Laguna, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
2,103777056,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/db/72/9c/1199799695.jpg,PTT01949,18,3,132500.0,flat,sale,50.0,False,2,1,La Caleta - La Viña,Cádiz,Cádiz,La Caleta - La Viña,es,36.529886,-6.2944134,False,https://www.idealista.com/inmueble/103777056/,1352,"Te presentamos este piso situado en el centro de Cádiz, junto a la Catedral y la plaza de las Flores, a pocos metros del Mercado Central y todas las calles comerciales del centro. Podrás disfrutar de todas las actividades de ocio y nuestra oferta cultural con sólo salir a la puerta de su casa. Un piso de 2 dormitorios, salón cocina y baño. Luminoso y para entrar a vivir. Aprovecha la ocasión para adquirir un piso ideal como inversión o para crear tu nuevo hogar en pleno corazón de Cádiz. Si estás interesado en esta propiedad pero tienes que vender, contacta con nosotros, te ayudamos a encontrar comprador para tu vivienda. Informamos a nuestros clientes de que los gastos de notaría, registro, gestaría, impuestos y los honorarios de la agencia no están incluidos en el precio. A su vez, disponemos del documento informativo abreviado de la propiedad (según decreto 218/2005, del 11 de octubre) y de seguro de caución, para la protección del dinero entregado como señal para la reserva de una vivienda o inmueble.",False,good,False,False,2650.0,{'typology': 'flat'},"{'subtitle': 'La Caleta - La Viña, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
3,103200909,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d6/64/3b/1181646615.jpg,ASP-0182,19,2,220000.0,flat,sale,44.0,True,1,1,Ayuntamiento - Catedral,Cádiz,Cádiz,Ayuntamiento - Catedral,es,36.5294511,-6.2931726,False,https://www.idealista.com/inmueble/103200909/,1238,"Gran oportunidad de inversión en el centro de Cádiz. Presentamos este apartamento reformado recientemente y en perfecto estado de conservación. Ubicado convenientemente a pocos metros del ayuntamiento y de la estación de tren. Se compone de salon-cocina con sofá cama, dormitorio independiente y cuarto de baño. Además, cuenta con una terraza privada y de uso exclusivo en la azotea superior, con césped artificial y tumbonas para disfrutar del sol. Si quiere saber más, no dudes en concertar un visita con nosotros para conocer esta propiedad. En cumplimiento del decreto de la junta de Andalucía 218/2005 del 11 de Octubre, se informa al cliente que los gastos notariales, registrales, impuestos, honorarios de la agencia y otros gastos inherentes a la compra-venta no están incluidos en el precio.",False,good,False,False,5000.0,{'typology': 'flat'},"{'subtitle': 'Ayuntamiento - Catedral, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",,,
4,103577041,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/d9/ac/1193973100.jpg,CADPT000224,20,1,189000.0,flat,sale,74.0,,3,1,La Paz - Segunda Aguada - Loreto,Cádiz,Cádiz,La Paz - Segunda Aguada - Loreto,es,36.5152467,-6.2752395,False,https://www.idealista.com/inmueble/103577041/,1012,"CADIZSUR SERVICIOS INMOBILIARIOS les anuncia EN EXCLUSIVA, una magnífica oportunidad en venta en Avd. San Severiano, rodeado de centros comerciales, colegios, transportes y a 3 minutos del Paseo de la Bahía y el Puente La Pepa (salida de Cádiz)  La vivienda se encuentra en perfecto estado para habitarla y consta de hall de entrada, cocina nueva independiente, salón con terraza añadida y aire acondicionado. Pasillo distribuidor con 3 dormitorios y 1 cuarto de baño.  Edificio con ascensor y con acceso adaptado para p. m. r.  Una gran oportunidad para invertir en un hogar ideal con todas las comodidades a su alcance. No se demore y contacte con nosotros lo antes posible! Lo atenderemos en c/ Matrona Modesta Calvo, 2 o en el  En cumplimiento del decreto de la Junta de Andalucía 218-2005 del 11 de octubre, se informa a los clientes que los gastos notariales, registrales y I. T. P. no están incluidos en el precio; al igual que los honorarios de la agencia. Le recordamos que como consumidor tiene derecho a que se le informe y entregue la documentación informativa que corresponda, según el caso, en base a lo dispuesto en el Decreto 218/05 de 11 de octubre que regula el Reglamento de Información al Consumidor en la compra-venta y arrendamiento de viviendas en Andalucía.",False,good,False,True,2554.0,{'typology': 'flat'},"{'subtitle': 'La Paz - Segunda Aguada - Loreto, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
5,101538208,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/35/d1/d4/1125354405.jpg,CADCA000290,14,bj,160000.0,flat,sale,89.0,True,1,1,Centro Histórico - Plaza España,Cádiz,Cádiz,Centro Histórico - Plaza España,es,36.532129,-6.2972942,False,https://www.idealista.com/inmueble/101538208/,1710,"CADIZSUR SERVICIOS INMOBILIARIOS les presenta ésta vivienda completamente reformada a estrenar, con distribución diáfana para hacerla al gusto exclusivo de quién la adquiera. Capacidad para 3 dormitorios. Edificio en perfecto estado de arquitectura histórica y con reforma integral del año 95.  Vivienda en planta baja exterior, con una superficie de 89 m2. Ventanal enorme hacia el patio de la finca y otros dos huecos de ventanas de pvc y climalit hacia la calle.  Calle tranquila en una zona muy comercial y alegre, como la Plaza de Las Flores, Columela, Catedral o Pza. de Candelaria y La Caleta a 7 min. Todos los servicios a la mano y una gran diversidad de restauración, ocio y Universidades.  No lo deje para mañana y llame ya al o persónese en c/ Matrona Modesta Calvo Nº 2.  FINANCIAMOS HASTA EL 100%.",False,good,False,False,1798.0,{'typology': 'flat'},"{'subtitle': 'Centro Histórico - Plaza España, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
6,103201122,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/c6/f9/1181646024.jpg,ASP-0183,18,2,200000.0,flat,sale,36.0,True,1,1,Ayuntamiento - Catedral,Cádiz,Cádiz,Ayuntamiento - Catedral,es,36.5299991,-6.290546,False,https://www.idealista.com/inmueble/103201122/,1128,"Gran oportunidad de inversión en el centro de Cádiz. Presentamos este apartamento con licencia VFT desde 2017 con rentabilidad demostrable. Reformado recientemente y en perfecto estado de conservación. Ubicado convenientemente a pocos metros del ayuntamiento y de la estación de tren. Se compone de salón-cocina con sofá cama, dormitorio independiente y cuarto de baño. Además, cuenta con una terraza privada y de uso exclusivo en la azotea superior, con césped artificial y tumbonas para disfrutar del sol. Si quiere saber más, no dudes en concertar un visita con nosotros para conocer esta propiedad. En cumplimiento del decreto de la junta de Andalucía 218/2005 del 11 de Octubre, se informa al cliente que los gastos notariales, registrales, impuestos, honorarios de la agencia y otros gastos inherentes a la compra-venta no están incluidos en el precio.",False,good,False,False,5556.0,{'typology': 'flat'},"{'subtitle': 'Ayuntamiento - Catedral, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",,,
7,104202943,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/d3/aa/1213016864.jpg,104,8,2,140000.0,flat,sale,75.0,True,2,1,La Caleta - La Viña,Cádiz,Cádiz,La Caleta - La Viña,es,36.5279738,-6.3019731,False,https://www.idealista.com/inmueble/104202943/,1819,"Se vende piso en Cadiz, zona La Caleta - La caleta - La Viña, compuesto de dos dormitorios, salon, cocina y baño, exterior muy luminoso, conservado para poder entrar a vivir, exterior muy luminoso, 2ª planta sin ascensor, rodeado de comercios y supermercados, a 5 minutos del centro de la ciudad y a 1 minuto de la playa. En cumplimiento del Decreto 218/2005 del 11 de Octubre, se informa al cliente que los gastos Notariales, Registrales, ITP, y otros gastos inherentes a la compraventa no están incluidos en el precio.",False,good,False,False,1867.0,{'typology': 'flat'},"{'subtitle': 'La Caleta - La Viña, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,,,,
8,104199181,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/f4/5a/1212729768.jpg,2914,16,bj,357000.0,flat,sale,95.0,,4,1,Playa Victoria - Paseo Marítimo,Cádiz,Cádiz,Playa Victoria - Paseo Marítimo,es,36.5151401,-6.2851628,False,https://www.idealista.com/inmueble/104199181/,760,"Presentamos a la venta una nueva propiedad junto a la playa victoria con esplendidas vistas al mar. Consta de una superficie util de 86 metros distribuidos en 4 dormitorios, salon. Cocina y cuarto de baño. Este piso se encuentra ubicado junto al mar, pudiendo bajar a la playa en cualquier momento. Rodeado de paradas de autbuses, de taxis y de todos los servicios que usted pueda necesitar. No pierdas la oportunidad de adquirir este inmueble con todas estas caracteristicas por un precio inigualable. ¡contactanos ahora para mas informacion! informamos a nuestros clientes, que los gastos de notaría, gestoría, impuestos, así como los honorarios de nuestra agencia no están incluidos en el precio de venta.",False,good,False,True,3758.0,{'typology': 'flat'},"{'subtitle': 'Playa Victoria - Paseo Marítimo, Cádiz', 'title': 'Piso'}",False,False,False,False,False,False,"[{'name': 'seaViewsType', 'text': 'Vistas al mar'}]",,,
9,103911590,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/25/3e/1203991830.jpg,CA-285,17,2,180000.0,flat,sale,90.0,True,2,1,"SAGASTA, 23",Cádiz,Cádiz,Centro Histórico - Plaza España,es,36.5331013,-6.2984229,True,https://www.idealista.com/inmueble/103911590/,1858,"Piso de 2 dormitorios, situado en segunda planta sin ascensor, en la calle Sagasta, muy cerca de la calle Ancha, exterior.",False,good,False,False,2000.0,{'typology': 'flat'},"{'subtitle': 'Centro Histórico - Plaza España, Cádiz', 'title': 'Piso en Sagasta, 23'}",False,False,False,False,False,False,,,,
